Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,SQ_INSTS_VALU_MFMA_MOPS_I8,SQ_WAVES,Start_Timestamp,End_Timestamp
1683,1,5120,256,0,0,24,0,32,64,"batch_decode_kernels::q_rope(float*, float const*, int, int, int, int, int, int, float const*, int)",1684,39,24314.0,0.0,0.0,0.0,0.0,0.0,80.0,4912602349096359.0,4912602349103559.0
1684,1,30720,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",1685,27,28051.0,0.0,0.0,0.0,0.0,0.0,480.0,4912602349210919.0,4912602349220839.0
1685,1,20480,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",1686,52,24755.0,0.0,0.0,0.0,0.0,0.0,320.0,4912602349337160.0,4912602349345000.0
1686,1,2621440,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",1687,41,66225.0,0.0,0.0,0.0,0.0,0.0,40960.0,4912602349455560.0,4912602349489960.0
1687,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_head_gemm(float*, float const*, unsigned short const*, int, int, int, int, int, int, unsigned long)",1688,29,55282.0,65536.0,0.0,0.0,0.0,0.0,128.0,4912602349572201.0,4912602349598281.0
1688,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1689,19,146539.0,262144.0,0.0,0.0,0.0,0.0,128.0,4912602349685641.0,4912602349766602.0
1689,1,1280,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1690,36,32552.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602349894282.0,4912602349906602.0
1690,1,256,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1691,19,156625.0,8192.0,0.0,0.0,0.0,0.0,4.0,4912602350011083.0,4912602350097003.0
1691,1,320,64,0,0,16,0,48,64,"void moe_kernels::router_topk_wave64_kernel<64>(float*, float const*, int*, float*, int, int, int, int, int, float)",1692,55,39527.0,0.0,0.0,0.0,0.0,0.0,5.0,4912602350231724.0,4912602350248204.0
1692,1,256,256,1024,0,12,4,64,64,"batch_decode_kernels::align_routes(int const*, int, int, int, int*, int*, int*)",1693,17,40001.0,0.0,0.0,0.0,0.0,0.0,4.0,4912602350348044.0,4912602350365004.0
