Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_LDS_BANK_CONFLICT,SQ_LDS_IDX_ACTIVE,SQ_WAVES,TCC_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,Start_Timestamp,End_Timestamp
96,1,700416,256,0,0,24,0,32,64,"batch_decode_kernels::gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",97,23,191538.0,0.0,1050624.0,10944.0,5471319.0,18569710.0,17541542.0,4912630647635687.0,4912630647750888.0
97,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",98,38,149751.0,0.0,98304.0,2048.0,4114010.0,14459266.0,13285267.0,4912630647905929.0,4912630647993289.0
98,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",99,36,33205.0,0.0,70.0,4.0,65716.0,579569.0,15330.0,4912630648149130.0,4912630648162250.0
99,1,233472,256,0,0,16,0,32,64,"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",100,37,74313.0,0.0,175104.0,3648.0,1737048.0,6673358.0,4980571.0,4912630648315850.0,4912630648355051.0
100,1,256,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",101,33,28598.0,0.0,70.0,4.0,45806.0,516441.0,7079.0,4912630648507851.0,4912630648518251.0
101,1,524288,256,0,0,36,4,32,64,"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",102,41,35779.0,0.0,393216.0,8192.0,471944.0,2753676.0,1543804.0,4912630648670892.0,4912630648686252.0
102,1,1024,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",103,43,28088.0,0.0,768.0,16.0,80085.0,1128403.0,38818.0,4912630648841773.0,4912630648851693.0
103,1,4096,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",104,52,24907.0,0.0,2048.0,64.0,61720.0,1585860.0,45504.0,4912630649011373.0,4912630649019373.0
104,1,524288,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",105,26,27953.0,0.0,196608.0,8192.0,131901.0,1902527.0,794531.0,4912630649191374.0,4912630649201454.0
105,1,131072,256,0,0,20,4,32,64,"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",106,30,31118.0,0.0,98304.0,2048.0,359334.0,2232922.0,1179037.0,4912630649360175.0,4912630649372335.0
