Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_FLAT,SQ_ACTIVE_INST_MISC,SQ_ACTIVE_INST_VALU,SQ_ACTIVE_INST_VMEM,SQ_THREAD_CYCLES_VALU,SQ_WAVES,Start_Timestamp,End_Timestamp
47,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,48,13,23879.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912528141844046.0,4912528141850926.0
48,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,49,13,20942.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912528141923246.0,4912528141928846.0
49,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,50,13,19415.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912528141987726.0,4912528141992526.0
50,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,51,13,23465.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912528733270937.0,4912528733277497.0
51,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,52,13,20686.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912528733350777.0,4912528733356377.0
52,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,53,13,18809.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912528733414457.0,4912528733419097.0
53,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,54,13,23147.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912529310778934.0,4912529310785494.0
54,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,55,13,21330.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912529310882134.0,4912529310888054.0
55,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,56,13,18801.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912529310947734.0,4912529310952374.0
56,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,57,13,24299.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912529888650541.0,4912529888657421.0
